1,Atender heridos,Ayudar a gente afectada directamente por el desastre,10,1
2,Extraer escombros,Retirar los desechos del lugar,15,1
3,Apagar fuego,Ayudar a combatir el incendio,30,1
4,Guiar a lugar seguro,Buscar un lugar seguro al desastre,5,1
5,Realizar SOS,Hacer una señal de auxilio,4,1
6,Cubrir conductos de ventilación,Cerrar puertas y ventanas con paños húmedos,10,1
7,Ayudar a subir a un lugar alto,Subir a un cerro o árbol,5,1
8,Ayudar a evacuar las casas,Ayudar a la gente a que resguarde sus productos de valor,10,1
9,Establecer centro de comandos,Coordinar con voluntarios y otras organizaciones,9,1
10,Suministrar alimentos,Asignar alimentos a los afectados,7,1
11,Evaluar daños,Realizar evaluación completa para determinar las necesidades a largo plazo,5,1
12,Atender psicológicamente,Ofrecer apoyo psicológico a personas traumatizadas,3,1
